date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:06:59	90939/90939	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2010:07:03%20GMT	https://www.imf.org/en/Home	C:/inetrship/econi/www.imf.org/en/Home.html	(from )
03:07:02	156/156	---M-Z	200	added ('OK')	text/plain	etag:%22e5e10e5725cd61:0%22	https://www.imf.org/robots.txt		(from )
03:07:02	110937/110937	---M-Z	200	added ('OK')	application/x-javascript	etag:%226b3f865177ce98a191ea8aebdbdda0ef:1662187313.228192%22	http://assets.adobedtm.com/c7b988f076dc93cc20c734bc51e87dde0b81f134/satelliteLib-834e3fe4ac4ea890c36d061e19fc6cfc1b5dc5d0.js	C:/inetrship/econi/assets.adobedtm.com/c7b988f076dc93cc20c734bc51e87dde0b81f134/satelliteLib-834e3fe4ac4ea890c36d061e19fc6cfc1b5dc5d0.js	(from https://www.imf.org/en/Home)
03:07:03	2663/2663	---M-Z	200	added ('OK')	application/javascript	etag:%224e27812fd592d71:0%22	https://www.imf.org/Assets/IMF/js/analytics/gatag.js	C:/inetrship/econi/www.imf.org/Assets/IMF/js/analytics/gatag.js	(from https://www.imf.org/en/Home)
03:07:04	71619/71619	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2010:07:08%20GMT	https://www.imf.org/en/news/podcasts	C:/inetrship/econi/www.imf.org/en/news/podcasts.html	(from https://www.imf.org/en/Home)
03:07:09	50859/50859	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2010:07:13%20GMT	https://www.imf.org/en/email-subscription/index	C:/inetrship/econi/www.imf.org/en/email-subscription/index.html	(from https://www.imf.org/en/Home)
03:07:13	86797/86797	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2010:07:16%20GMT	https://www.imf.org/en/live	C:/inetrship/econi/www.imf.org/en/live.html	(from https://www.imf.org/en/Home)
03:07:15	371465/371465	---M-Z	200	added ('OK')	text/css	etag:%222642172fd592d71:0%22	https://www.imf.org/Assets/IMF/css/CoveoFullSearch.min.css	C:/inetrship/econi/www.imf.org/Assets/IMF/css/CoveoFullSearch.min.css	(from https://www.imf.org/en/Home)
03:07:16	2624/2624	---M-Z	200	added ('OK')	text/css	etag:%220665c2ebb12d61:0%22	https://www.imf.org/Coveo/Hive/css/CoveoForSitecore.css	C:/inetrship/econi/www.imf.org/Coveo/Hive/css/CoveoForSitecore.css	(from https://www.imf.org/en/Home)
03:07:16	550719/550719	---MCZ	200	added ('OK')	application/javascript	etag:W/%2228111e59b90b37d11913bd363a56b1fa%22	https://static.cloud.coveo.com/searchui/v2.4710/js/CoveoJsSearch.Lazy.min.js	C:/inetrship/econi/static.cloud.coveo.com/searchui/v2.4710/js/CoveoJsSearch.Lazy.min.js	(from https://www.imf.org/en/Home)
03:07:17	46662/46662	---M-Z	200	added ('OK')	application/javascript	etag:%220cee537bb12d61:0%22	https://www.imf.org/Coveo/Hive/js/CoveoForSitecore.Lazy.min.js?v=1220	C:/inetrship/econi/www.imf.org/Coveo/Hive/js/CoveoForSitecore.Lazy.min4e60.js	(from https://www.imf.org/en/Home)
03:07:20	72270/72270	---M-Z	200	added ('OK')	application/javascript	etag:%22bccfbc2fd592d71:0%22	https://www.imf.org/Coveo/Hive/js/cultures/en.js	C:/inetrship/econi/www.imf.org/Coveo/Hive/js/cultures/en.js	(from https://www.imf.org/en/Home)
03:07:22	62850/62850	---M-Z	200	added ('OK')	text/html	date:Sun,%2002%20Oct%202022%2010:07:26%20GMT	https://www.imf.org/en/About	C:/inetrship/econi/www.imf.org/en/About.html	(from https://www.imf.org/en/Home)
